type,ID,MC,SF,CSM,_JWDWZZB__ID,_JWDWZZB__WD,_JWDWZZB__JD,
ZGCS,d159b06f-f548-45ca-b149-adf6c22d09ff,宁夏回族自治区银川市,宁夏回族自治区,银川市,d159b06f-f548-45ca-b149-adf6c22d09ff,38.46798039,106.2623668,
ZGCS,58794128-7414-473b-b91b-abd0d3843830,宁夏回族自治区石嘴山市,宁夏回族自治区,石嘴山市,58794128-7414-473b-b91b-abd0d3843830,39.01600473,106.3721941,
ZGCS,76604c8c-0320-43c7-bbff-a9d950798cce,宁夏回族自治区吴忠市,宁夏回族自治区,吴忠市,76604c8c-0320-43c7-bbff-a9d950798cce,37.98530929,106.1963012,
ZGCS,f759a088-86e9-44a6-a41c-e7ebcb348abd,宁夏回族自治区固原市,宁夏回族自治区,固原市,f759a088-86e9-44a6-a41c-e7ebcb348abd,36.01110003,106.2732606,
ZGCS,a20ca070-9075-4cf8-9f48-5cfb4fd4d299,宁夏回族自治区中卫市,宁夏回族自治区,中卫市,a20ca070-9075-4cf8-9f48-5cfb4fd4d299,37.51456716,105.1746375,
ZGCS,9730614e-ea8f-433c-acf2-a94d95d85d1e,甘肃省兰州市,甘肃省,兰州市,9730614e-ea8f-433c-acf2-a94d95d85d1e,36.06854444,103.7508902,
ZGCS,3f52c132-1501-48df-bb0c-094f64ea8b25,甘肃省金昌市,甘肃省,金昌市,3f52c132-1501-48df-bb0c-094f64ea8b25,38.46668417,102.1665709,
ZGCS,b8b284a1-1d86-4037-9c1c-1e4d33698473,甘肃省白银市,甘肃省,白银市,b8b284a1-1d86-4037-9c1c-1e4d33698473,36.54892902,104.2011748,
ZGCS,3d623408-4b7c-41b3-a4c7-a05b5803b9b8,甘肃省天水市,甘肃省,天水市,3d623408-4b7c-41b3-a4c7-a05b5803b9b8,34.57621892,105.7096086,
ZGCS,cc55e59f-dd10-46bc-8dbd-5f04a995a9bc,甘肃省嘉峪关市,甘肃省,嘉峪关市,cc55e59f-dd10-46bc-8dbd-5f04a995a9bc,39.79428634,98.32185135,
